"lineage","lineagegroup"
"FD.2","XBB"
"XBB.1.5.37","XBB"
"BQ.1.1.47","BQ"
"CH.1.1.17","BA.2.75"
"BA.5.1.29","BA.5"
"XBB.1.22.2","XBB"
"XBB.1.5.25","XBB"
"XBB.1.5.33","XBB"
"XBB.1.5.24","XBB"
"XBB.1.5.14","XBB"
"AV.1","Other"
"XBB.8","XBB"
"XBB.2.8","XBB"
"XBB.6","XBB"
"XBB.1.5.11","XBB"
"XBB.2.7.1","XBB"
"EP.1","BA.2.75"
"XBC.1.1","Omicron"
"EL.1","XBB"
"XBB.1.8","XBB"
"XBB.1.12","XBB"
"XBB.1.24","XBB"
"XBB.1.17.1","XBB"
"XBB.1.5.17","XBB"
"XBB.2.7","XBB"
"BA.2.3.7","BA.2.X"
"CH.1.1.11","BA.2.75"
"XBB.1.19.1","XBB"
"XBB.1.5.31","XBB"
"XBB.2.5","XBB"
"XBB.1.19","XBB"
"BF.38","BA.5"
"BA.5.1.35","BA.5"
"EC.1.1","BA.5"
"BN.1.3.5","BA.2.75"
"BF.7.22","BA.5"
"EF.1.1.1","BA.5"
"DU.1","BA.5"
"XBB.3.3","XBB"
"CV.2","BA.2.75"
"EJ.1","BA.2.75"
"BQ.1.1.59","BQ"
"XBB.1.5.20","XBB"
"BA.5.2.56","BA.5"
"BQ.1.2.1","BQ"
"BN.1.2.4","BA.2.75"
"BF.7.14","BA.5"
"BA.1.1.5","BA.1.X"
"XBB.2.6","XBB"
"XBB.1.28","XBB"
"XBB.2.3.1","XBB.2.3"
"BF.7.8","BA.5"
"BA.5.2.47","BA.5"
"XBB.1.15","XBB"
"BQ.1.1.41","BQ"
"XBF.8","Omicron"
"FC.1","BA.5"
"BQ.1.1.11","BQ"
"BQ.1.1.48","BQ"
"XBB.1.27","XBB"
"BN.1.2.2","BA.2.75"
"EE.2","BA.5"
"BN.1.3.8","BA.2.75"
"XBM","Omicron"
"BN.1.9","BA.2.75"
"XBB.1.5.21","XBB"
"XBB.1.9.4","XBB"
"BA.5.2.59","BA.5"
"B.1.564","Other"
"XBB.1.9.5","XBB"
"CH.1.1.18","BA.2.75"
"BN.1.2.3","BA.2.75"
"DY.4","BA.5"
"B.1.124","Other"
"BN.1.3.6","BA.2.75"
"BQ.1.1.68","BQ"
"BQ.1.1.69","BQ"
"BN.1.3.7","BA.2.75"
"XBB.1.7","XBB"
"BR.5","BA.2.75"
"BQ.1.1.51","BQ"
"BQ.1.1.24","BQ"
"XBF.5","Omicron"
"BF.41","BA.5"
"BA.5.2.49","BA.5"
"BA.5.1.36","BA.5"
"BE.12","BA.5"
"XBB.1.5.36","XBB"
"XBB.1.5.26","XBB"
"DY.2","BA.5"
"BC.1","Omicron"
"XBB.3.2","XBB"
"BN.1.4.1","BA.2.75"
"BN.1.10","BA.2.75"
"BN.1.11","BA.2.75"
"B.1.1.142","Other"
"BA.5.2.62","BA.5"
"BF.36","BA.5"
"DV.2","BA.2.75"
"CP.7","BA.5"
"XBB.1.9.3","XBB"
"CH.3.1","BA.2.75"
"BN.1.4.5","BA.2.75"
"CH.1.1.7","BA.2.75"
"FD.1","XBB"
"EU.1.1","XBB"
"XBB.1.5.45","XBB"
"XBB.2.3.4","XBB.2.3"
"XBB.2.3.3","XBB.2.3"
"XBB.2.3.5","XBB.2.3"
"XBB.1.16.5","XBB.1.16"
"XBB.1.16.2","XBB.1.16"
"FU.1","XBB.1.16"
"FU.2","XBB.1.16"
"EG.2","XBB"
"XBB.1.16.4","XBB.1.16"
"XBB.2.3.7","XBB.2.3"
"XBB.2.3.11","XBB.2.3"
"GE.1","XBB"
"XBB.1.16.3","XBB.1.16"
"EG.5","XBB"
"XBB.1.5.67","XBB"
"XBB.2.3.9","XBB.2.3"
"BQ.1.1.31","BQ"
"CH.1.1.24","BA.2.75"
"XBB.1.30","XBB"
"CH.1.1.27","BA.2.75"
"XBB.1.16.6","XBB.1.16"
"FL.3.3","XBB"
"BA.2.25","BA.2.X"
"GA.3","XBB"
"FT.1","XBB"
"XBL.1","Omicron"
"XBB.1.5.57","XBB"
"FY.1","XBB"
"XBB.1.34","XBB"
"FK.1.1","BA.2.75"
"XBB.9","XBB"
"FL.12","XBB"
"FL.4","XBB"
"XBB.1.5.47","XBB"
"B.1.395","Other"
"BA.2.69","BA.2.X"
"XBB.1.39","XBB"
"EG.4","XBB"
"FL.1","XBB"
"XBB.1.5.54","XBB"
"XBB.1.36","XBB"
"XBB.2.3.6","XBB.2.3"
"FL.5","XBB"
"XBB.1.5.42","XBB"
"CH.1.1.25","BA.2.75"
"FK.1","BA.2.75"
"XBB.1.5.43","XBB"
"FN.1","BA.5"
"FK.1.2","BA.2.75"
"XBB.1.24.1","XBB"
"XBB.1.5.46","XBB"
"FL.10","XBB"
"XBB.1.5.48","XBB"
"BQ.1.2.3","BQ"
"CH.1.1.19","BA.2.75"
"FL.2.1","XBB"
"BQ.1.1.67","BQ"
"FL.8","XBB"
"FL.2","XBB"
"XBB.1.5.52","XBB"
"BN.1.2.6","BA.2.75"
"XBB.1.35","XBB"
"BQ.1.1.74","BQ"
"XBB.2.3.8","XBB.2.3"
"XBB.2.3.10","XBB.2.3"
"DN.3","BA.5"
"EU.1.1.1","XBB"
"EJ.3","BA.2.75"
"XBB.3.4","XBB"
"XBB.1.5.56","XBB"
"FL.1.3","XBB"
"XBB.1.37.1","XBB"
"XBB.1.5.65","XBB"
"DN.2","BA.5"
"BQ.1.3.2","BQ"
"FD.4","XBB"
"DV.6","BA.2.75"
"XAY.2.3","Omicron"
"FY.2","XBB"
"XBB.1.5.51","XBB"
"CJ.1.3","BA.2.75"
"EG.5.1","XBB"
"EK.3","XBB"
"XBB.1.5.30","XBB"
"EG.1.2","XBB"
"FE.1.1","XBB"
"FY.4.1","XBB"
"XBB.1.31","XBB"
"XBB.1.16.11","XBB.1.16"
"XBB.1.16.8","XBB.1.16"
"GJ.1.1","XBB"
"XBB.1.5.87","XBB"
"GP.2","BA.2.75"
"GS.1","XBB"
"XBB.2.10","XBB"
"XBB.1.5.75","XBB"
"GR.1","XBB"
"XBB.1.34.2","XBB"
"XBB.1.5.66","XBB"
"XBB.2.3.12","XBB.2.3"
"BA.1.12","BA.1.X"
"FP.2","XBB"
"FP.3","XBB"
"XBB.1.45.1","XBB"
"XBB.2.12","XBB"
"FY.5","XBB"
"FK.1.2.2","BA.2.75"
"XCG","Omicron"
"XBB.2.11","XBB"
"XBB.2.11.1","XBB"
"XBB.1.16.10","XBB.1.16"
"XBB.1.5.76","XBB"
"GF.1","XBB"
"EG.6","XBB"
"XBB.2.6.2","XBB"
"EG.5.2","XBB"
"FL.1.5.1","XBB"
"GJ.1","XBB"
"XBB.1.43.1","XBB"
"XBB.1.5.80","XBB"
"FL.13","XBB"
"XBB.1.42","XBB"
"XBB.1.16.7","XBB.1.16"
